evaluator_version,session,onset_ms,attention,frame_start,frame_end,model,channels,range_bin,weights,global_offset_s,ecg_hr_bpm,pred_hr_bpm,pred_raw_spectral_hr_bpm,hr_abs_error_bpm,ecg_rmssd_full_ms,radar_rmssd_full_ms,ecg_peak_count,radar_peak_count,matched_beat_count,beat_precision,beat_recall,false_beat_rate,timing_error_signed_mean_ms,timing_error_mae_ms,timing_error_rmse_ms,alignment_offset_s,match_tolerance_ms,matched_interval_count,ibi_mae_ms_matched,ibi_rmse_ms_matched,ibi_bias_ms_matched,rmssd_run_interval_count,ecg_rmssd_matched_ms,radar_rmssd_matched_ms,rmssd_abs_error_ms_matched,rmssd_usable,resp_harmonic_mislock
ECG evaluator v1,sub-97793_,1786870241060,2,50000,53000,S1,3,18,[1.0],0.3650000000000011,84.7457627118644,75.6,54.0,9.145762711864407,21.048901396509983,314.4969528204261,42,38,12,0.3157894736842105,0.2857142857142857,0.6842105263157895,2.7500000000021765,84.24999999999935,91.40158641949233,0.3650000000000011,150.0,6,100.41666666666532,115.6033087761755,-83.91666666666589,4,13.194064322011418,146.51507317223968,133.32100885022825,True,0
ECG evaluator v1,sub-97793_,1786870241060,2,50000,53000,T0,0|1|2|3,18,"[0.24691737840013514, 0.23328782932012598, 0.2633835644223389, 0.25641122785739995]",0.3650000000000011,84.7457627118644,69.5,56.0,15.245762711864401,21.048901396509983,345.01207708330054,42,35,10,0.2857142857142857,0.23809523809523808,0.7142857142857143,27.25000000000204,85.35000000000093,90.86212082050544,0.3650000000000011,150.0,4,90.87500000000134,113.3465372210383,-5.625000000001052,2,,,,False,0
ECG evaluator v1,sub-97793_,1786870241060,2,50000,53000,T1,4|5|6|7,246,"[0.27733536059777514, 0.3141246652435244, 0.16837801592950077, 0.24016195822919972]",0.3650000000000011,84.7457627118644,72.8,86.0,11.945762711864404,21.048901396509983,318.85364520234594,42,36,17,0.4722222222222222,0.40476190476190477,0.5277777777777778,-27.26470588235136,78.02941176470564,89.42602924139175,0.3650000000000011,150.0,8,96.74999999999996,117.99735166519672,13.749999999999815,2,,,,False,0
ECG evaluator v1,sub-97793_,1786870241060,2,50000,53000,A4,0|1|4|5,27,"[0.04859304375520196, 0.2956258667577838, 0.33293056218300277, 0.3228505273040115]",0.3650000000000011,84.7457627118644,79.9,64.0,4.8457627118643956,21.048901396509983,206.63978319771826,42,40,19,0.475,0.4523809523809524,0.525,-34.60526315789338,75.97368421052529,86.2214865149165,0.3650000000000011,150.0,13,68.57692307692261,80.98064821063915,-18.884615384615472,5,21.831742944620537,140.0892572612193,118.25751431659876,True,1
ECG evaluator v1,sub-97793_,1786870241060,2,50000,53000,C8-PH,0|1|2|3|4|5|6|7,18,"[0.14478242344729042, 0.13679060383911484, 0.15443753291214637, 0.1503492350713757, 0.1594502777870144, 0.06567852842469132, 0.05932797018159651, 0.12918342833677052]",0.3650000000000011,84.7457627118644,75.6,56.0,9.145762711864407,21.048901396509983,297.60619019846416,42,38,11,0.2894736842105263,0.2619047619047619,0.7105263157894737,23.181818181820354,62.54545454545477,70.03830120986457,0.3650000000000011,150.0,7,67.2857142857143,99.81769095992675,-26.28571428571443,6,15.854021571829877,92.3038460737145,76.44982450188462,True,0
ECG evaluator v1,sub-97793_,1786870300135,1,55937,58904,S1,2,18,[1.0],0.3650000000000011,79.84031936127745,77.5,80.88978766430738,2.3403193612774515,23.471567346136272,241.67241372476826,40,38,20,0.5263157894736842,0.5,0.4736842105263158,26.025000000001807,75.22500000000025,85.31522431547633,0.3650000000000011,150.0,15,79.43333333333234,101.5169115632125,-29.566666666666787,10,22.353224972397747,139.28388277183993,116.93065779944217,True,0
ECG evaluator v1,sub-97793_,1786870300135,1,55937,58904,T0,0|1|2|3,18,"[0.26651746492446493, 0.21805949096544552, 0.2989399431076911, 0.21648310100239848]",0.3650000000000011,79.84031936127745,75.2,80.88978766430738,4.640319361277449,23.471567346136272,211.12623170578715,40,37,18,0.4864864864864865,0.45,0.5135135135135135,22.25000000000193,94.36111111111157,103.45845918907645,0.3650000000000011,150.0,13,110.88461538461478,134.2590062872156,-7.269230769231163,6,15.259423318067524,207.74984957876705,192.49042626069954,True,0
ECG evaluator v1,sub-97793_,1786870300135,1,55937,58904,T1,4|5|6|7,246,"[0.28715946913863877, 0.20413033292384977, 0.1783169332771712, 0.33039326466034014]",0.3650000000000011,79.84031936127745,77.4,80.88978766430738,2.440319361277446,23.471567346136272,211.88344577761282,40,39,10,0.2564102564102564,0.25,0.7435897435897436,-53.599999999998424,101.49999999999996,107.20844183178825,0.3650000000000011,150.0,5,96.60000000000014,117.15459871468997,-18.599999999999955,3,21.920310216782813,250.7987240796891,228.87841386290629,True,0
ECG evaluator v1,sub-97793_,1786870300135,1,55937,58904,A4,0|1|4|5,18,"[0.32132089110168965, 0.2628986058007713, 0.3151807021429869, 0.1005998009545522]",0.3650000000000011,79.84031936127745,73.1,80.88978766430738,6.740319361277457,23.471567346136272,285.01289960487134,40,36,19,0.5277777777777778,0.475,0.4722222222222222,21.605263157896367,92.34210526315809,99.854828837194,0.3650000000000011,150.0,11,127.27272727272681,149.0669465222069,18.909090909091102,5,21.676600286945277,206.2159062730119,184.53930598606664,True,0
ECG evaluator v1,sub-97793_,1786870300135,1,55937,58904,C8-PH,0|1|2|3|4|5|6|7,18,"[0.15672696190370475, 0.12823100183310152, 0.17579316645613943, 0.1273039976318801, 0.15373203319641568, 0.04906839738202592, 0.09799652956280773, 0.11114791203392488]",0.3650000000000011,79.84031936127745,77.2,80.88978766430738,2.6403193612774487,23.471567346136272,218.4668802765714,40,38,17,0.4473684210526316,0.425,0.5526315789473684,6.500000000001779,93.7352941176474,99.25035190336185,0.3650000000000011,150.0,12,128.29166666666637,153.14392740164382,-12.874999999999886,6,15.259423318067524,198.04039991880612,182.7809766007386,True,0
ECG evaluator v1,sub-97793_,1786870353888,1,61000,64026,S1,6,248,[1.0],0.3650000000000011,84.56659619450318,70.0,57.50165234633178,14.566596194503177,25.20119044807209,303.8290986922109,42,35,21,0.6,0.5,0.4,7.404761904763214,76.97619047619054,88.41413644779634,0.3650000000000011,150.0,12,51.66666666666699,60.73713855624117,-7.500000000000057,4,16.406299603100337,86.9865890046665,70.58028940156616,True,1
ECG evaluator v1,sub-97793_,1786870353888,1,61000,64026,T0,0|1|2|3,248,"[0.13036417095749211, 0.20204720124725656, 0.30433499960522736, 0.36325362819002394]",0.3650000000000011,84.56659619450318,70.4,49.57038995373429,14.166596194503171,25.20119044807209,271.7786532523045,42,35,12,0.34285714285714286,0.2857142857142857,0.6571428571428571,-32.41666666666446,80.83333333333302,92.4055824431975,0.3650000000000011,150.0,5,93.6000000000007,105.62528106471488,2.0000000000002958,3,6.791538853603289,139.4632568098138,132.6717179562105,True,0
ECG evaluator v1,sub-97793_,1786870353888,1,61000,64026,T1,4|5|6|7,246,"[0.20123283111005677, 0.24637988080444442, 0.2516413070879636, 0.30074598099753513]",0.3650000000000011,84.56659619450318,65.8,53.53602115003304,18.76659619450318,25.20119044807209,268.910585931098,42,33,12,0.36363636363636365,0.2857142857142857,0.6363636363636364,-9.291666666664403,77.04166666666667,89.92971792831665,0.3650000000000011,150.0,4,116.87499999999977,140.30524758539886,116.87499999999977,1,,,,False,0
ECG evaluator v1,sub-97793_,1786870353888,1,61000,64026,A4,0|1|4|5,14,"[0.1837506728369609, 0.28104543350598704, 0.3696583840373314, 0.16554550961972075]",0.3650000000000011,84.56659619450318,73.4,63.4500991407799,11.166596194503171,25.20119044807209,222.8195939063067,42,37,17,0.4594594594594595,0.40476190476190477,0.5405405405405406,24.264705882354594,82.55882352941235,91.78435404282654,0.3650000000000011,150.0,8,134.06250000000045,155.157883299561,41.06249999999956,3,49.690290802126476,212.24985276791298,162.55956196578651,True,1
ECG evaluator v1,sub-97793_,1786870353888,1,61000,64026,C8-PH,0|1|2|3|4|5|6|7,248,"[0.07463067216510194, 0.11566765873943362, 0.17422521400692295, 0.20795485630076405, 0.18567666788322004, 0.17531858902354036, 0.03359569060080671, 0.0329306512802104]",0.3650000000000011,84.56659619450318,68.3,49.57038995373429,16.26659619450318,25.20119044807209,303.2841077273915,42,34,14,0.4117647058823529,0.3333333333333333,0.5882352941176471,-37.10714285714101,92.60714285714185,102.21414844754548,0.3650000000000011,150.0,5,92.69999999999945,107.21124008237157,21.099999999999635,2,,,,False,0
ECG evaluator v1,sub-97793_,1786870410843,3,66885,69853,S1,2,18,[1.0],0.3650000000000011,84.09250175192712,74.6,60.646900269541774,9.492501751927122,20.54628920267599,223.84943919646398,42,37,27,0.7297297297297297,0.6428571428571429,0.2702702702702703,1.1296296296313473,51.98148148148104,62.48147873718409,0.3650000000000011,150.0,21,65.71428571428581,85.20493502362977,-0.9999999999999838,7,23.319341042719547,190.1315334183142,166.81219237559466,True,0
