session,range_bin,pair,ch_i,ch_j,same_tx,timestamp_source,coherence_hr_timestamp_aware,coherence_br_timestamp_aware,coherence_hr_legacy_frame_index,coherence_br_legacy_frame_index,input_frames,segments,gap_count,median_dt_ms,resampled_fs_hz,gap_threshold_ms,discarded_short_gap_segments,paired_segments,coherence_segments_used,coherence_weighted_by
sub-3_,12,tx0_rx0__tx0_rx3,tx0_rx0,tx0_rx3,True,host_ms,nan,nan,0.3694976270198822,0.599332869052887,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx0__tx1_rx0,tx0_rx0,tx1_rx0,False,device_ms,0.38695812649784395,0.6858023849239424,0.38571128249168396,0.6906396150588989,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx0__tx1_rx0,tx0_rx0,tx1_rx0,False,host_ms,nan,nan,0.38571128249168396,0.6906396150588989,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx0__tx1_rx1,tx0_rx0,tx1_rx1,False,device_ms,0.4080169913398347,0.775443188017728,0.41575953364372253,0.7688482403755188,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx0__tx1_rx1,tx0_rx0,tx1_rx1,False,host_ms,nan,nan,0.41575953364372253,0.7688482403755188,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx0__tx1_rx2,tx0_rx0,tx1_rx2,False,device_ms,0.2652001819410096,0.5317116565768334,0.2749400734901428,0.5158430337905884,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx0__tx1_rx2,tx0_rx0,tx1_rx2,False,host_ms,nan,nan,0.2749400734901428,0.5158430337905884,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx0__tx1_rx3,tx0_rx0,tx1_rx3,False,device_ms,0.2507121909215478,0.6446130776727071,0.25318804383277893,0.6309013366699219,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx0__tx1_rx3,tx0_rx0,tx1_rx3,False,host_ms,nan,nan,0.25318804383277893,0.6309013366699219,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx1__tx0_rx2,tx0_rx1,tx0_rx2,True,device_ms,0.30862411786374294,0.6086244598642717,0.3103504478931427,0.5993648767471313,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx1__tx0_rx2,tx0_rx1,tx0_rx2,True,host_ms,nan,nan,0.3103504478931427,0.5993648767471313,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx1__tx0_rx3,tx0_rx1,tx0_rx3,True,device_ms,0.2235645055289263,0.6199033151311597,0.20782162249088287,0.6212021112442017,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx1__tx0_rx3,tx0_rx1,tx0_rx3,True,host_ms,nan,nan,0.20782162249088287,0.6212021112442017,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx1__tx1_rx0,tx0_rx1,tx1_rx0,False,device_ms,0.43660263987020853,0.573517745083922,0.43276235461235046,0.5582840442657471,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx1__tx1_rx0,tx0_rx1,tx1_rx0,False,host_ms,nan,nan,0.43276235461235046,0.5582840442657471,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx1__tx1_rx1,tx0_rx1,tx1_rx1,False,device_ms,0.4149205722273226,0.6138155674749088,0.4243346154689789,0.5934749245643616,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx1__tx1_rx1,tx0_rx1,tx1_rx1,False,host_ms,nan,nan,0.4243346154689789,0.5934749245643616,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx1__tx1_rx2,tx0_rx1,tx1_rx2,False,device_ms,0.34300952242600585,0.4868028964063665,0.34312745928764343,0.4696703255176544,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx1__tx1_rx2,tx0_rx1,tx1_rx2,False,host_ms,nan,nan,0.34312745928764343,0.4696703255176544,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx1__tx1_rx3,tx0_rx1,tx1_rx3,False,device_ms,0.22364875510219884,0.38162615246606135,0.22847257554531097,0.3574867248535156,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx1__tx1_rx3,tx0_rx1,tx1_rx3,False,host_ms,nan,nan,0.22847257554531097,0.3574867248535156,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx2__tx0_rx3,tx0_rx2,tx0_rx3,True,device_ms,0.37009730112987566,0.6557541401533367,0.3627084195613861,0.6514350771903992,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx2__tx0_rx3,tx0_rx2,tx0_rx3,True,host_ms,nan,nan,0.3627084195613861,0.6514350771903992,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx2__tx1_rx0,tx0_rx2,tx1_rx0,False,device_ms,0.2549860649881315,0.6044789489860637,0.24930958449840546,0.6082208156585693,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx2__tx1_rx0,tx0_rx2,tx1_rx0,False,host_ms,nan,nan,0.24930958449840546,0.6082208156585693,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx2__tx1_rx1,tx0_rx2,tx1_rx1,False,device_ms,0.3336964591375804,0.6655845384502245,0.3476320207118988,0.6533668637275696,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx2__tx1_rx1,tx0_rx2,tx1_rx1,False,host_ms,nan,nan,0.3476320207118988,0.6533668637275696,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx2__tx1_rx2,tx0_rx2,tx1_rx2,False,device_ms,0.2109076469464136,0.5175465865636594,0.19689105451107025,0.4885505735874176,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx2__tx1_rx2,tx0_rx2,tx1_rx2,False,host_ms,nan,nan,0.19689105451107025,0.4885505735874176,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx2__tx1_rx3,tx0_rx2,tx1_rx3,False,device_ms,0.2508729549122187,0.6055334496496163,0.2411913424730301,0.5992148518562317,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx2__tx1_rx3,tx0_rx2,tx1_rx3,False,host_ms,nan,nan,0.2411913424730301,0.5992148518562317,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx3__tx1_rx0,tx0_rx3,tx1_rx0,False,device_ms,0.25805573612177674,0.6671441911354762,0.23825234174728394,0.6463907361030579,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx3__tx1_rx0,tx0_rx3,tx1_rx0,False,host_ms,nan,nan,0.23825234174728394,0.6463907361030579,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx3__tx1_rx1,tx0_rx3,tx1_rx1,False,device_ms,0.29169777670033664,0.650392682795356,0.2750607132911682,0.63089519739151,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx3__tx1_rx1,tx0_rx3,tx1_rx1,False,host_ms,nan,nan,0.2750607132911682,0.63089519739151,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx3__tx1_rx2,tx0_rx3,tx1_rx2,False,device_ms,0.2496571828948773,0.5372243588418055,0.2385866791009903,0.51393723487854,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx3__tx1_rx2,tx0_rx3,tx1_rx2,False,host_ms,nan,nan,0.2385866791009903,0.51393723487854,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx3__tx1_rx3,tx0_rx3,tx1_rx3,False,device_ms,0.2629175705039818,0.5912425914247889,0.25729793310165405,0.5880686044692993,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx3__tx1_rx3,tx0_rx3,tx1_rx3,False,host_ms,nan,nan,0.25729793310165405,0.5880686044692993,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx1_rx0__tx1_rx1,tx1_rx0,tx1_rx1,True,device_ms,0.4047268446676399,0.8489116237321832,0.40274548530578613,0.8587700128555298,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx1_rx0__tx1_rx1,tx1_rx0,tx1_rx1,True,host_ms,nan,nan,0.40274548530578613,0.8587700128555298,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx1_rx0__tx1_rx2,tx1_rx0,tx1_rx2,True,device_ms,0.32158283073168215,0.6186256803694311,0.3046766221523285,0.601527988910675,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx1_rx0__tx1_rx2,tx1_rx0,tx1_rx2,True,host_ms,nan,nan,0.3046766221523285,0.601527988910675,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx1_rx0__tx1_rx3,tx1_rx0,tx1_rx3,True,device_ms,0.3361320809571666,0.5856007371058024,0.31813114881515503,0.5603517889976501,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx1_rx0__tx1_rx3,tx1_rx0,tx1_rx3,True,host_ms,nan,nan,0.31813114881515503,0.5603517889976501,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx1_rx1__tx1_rx2,tx1_rx1,tx1_rx2,True,device_ms,0.2444837942218023,0.6584226925964838,0.24589954316616058,0.6329068541526794,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx1_rx1__tx1_rx2,tx1_rx1,tx1_rx2,True,host_ms,nan,nan,0.24589954316616058,0.6329068541526794,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx1_rx1__tx1_rx3,tx1_rx1,tx1_rx3,True,device_ms,0.3484776758287862,0.5701603224930202,0.3419598340988159,0.5539580583572388,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx1_rx1__tx1_rx3,tx1_rx1,tx1_rx3,True,host_ms,nan,nan,0.3419598340988159,0.5539580583572388,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx1_rx2__tx1_rx3,tx1_rx2,tx1_rx3,True,device_ms,0.2279338856556287,0.5696728158755128,0.2337033599615097,0.5542448163032532,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx1_rx2__tx1_rx3,tx1_rx2,tx1_rx3,True,host_ms,nan,nan,0.2337033599615097,0.5542448163032532,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,18,tx0_rx0__tx0_rx1,tx0_rx0,tx0_rx1,True,device_ms,0.4892494523554893,0.9206065658000633,0.49490925669670105,0.9213851690292358,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,18,tx0_rx0__tx0_rx1,tx0_rx0,tx0_rx1,True,host_ms,nan,nan,0.49490925669670105,0.9213851690292358,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,18,tx0_rx0__tx0_rx2,tx0_rx0,tx0_rx2,True,device_ms,0.7123468573463979,0.9563722335114333,0.714640200138092,0.9529967308044434,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,18,tx0_rx0__tx0_rx2,tx0_rx0,tx0_rx2,True,host_ms,nan,nan,0.714640200138092,0.9529967308044434,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,18,tx0_rx0__tx0_rx3,tx0_rx0,tx0_rx3,True,device_ms,0.8685287351423205,0.9652720344945983,0.8685207962989807,0.9636350274085999,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,18,tx0_rx0__tx0_rx3,tx0_rx0,tx0_rx3,True,host_ms,nan,nan,0.8685207962989807,0.9636350274085999,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,18,tx0_rx0__tx1_rx0,tx0_rx0,tx1_rx0,False,device_ms,0.97629296305479,0.9676900984892721,0.9768097400665283,0.967231273651123,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,18,tx0_rx0__tx1_rx0,tx0_rx0,tx1_rx0,False,host_ms,nan,nan,0.9768097400665283,0.967231273651123,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,18,tx0_rx0__tx1_rx1,tx0_rx0,tx1_rx1,False,device_ms,0.7220615562666923,0.9520947153780422,0.7231593132019043,0.952769935131073,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,18,tx0_rx0__tx1_rx1,tx0_rx0,tx1_rx1,False,host_ms,nan,nan,0.7231593132019043,0.952769935131073,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,18,tx0_rx0__tx1_rx2,tx0_rx0,tx1_rx2,False,device_ms,0.8631524335327073,0.9598368201378613,0.8695868849754333,0.9578712582588196,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,18,tx0_rx0__tx1_rx2,tx0_rx0,tx1_rx2,False,host_ms,nan,nan,0.8695868849754333,0.9578712582588196,6000,0,1206,8.0,125.0,12.0,1207,0,,
